total,body
5, 名前 は 忘れ まし た が 、 札幌 で 食べ た お 店 より も 、 全然 こっち の 方 が 美味しかっ た ので 、 載せ まし た 。 お 店 も 綺麗 （ 新規 オープン ・ ・ ） で ランチ は 結構 混ん で い ます 。 個人 的 に は ゆったり と 食事 できる ので 夜 の 方 が オススメ です 。 辛 さ が ０ 倍 から ５ ０ 倍 まで 選べる の も ＧＯＯＤ ！ 、 スープ も ２ 種類 みたい で 、 友達 は 黄色 が オススメ と 言っ て い まし た が 、 自分 は 赤 の 方 を 食べ まし た 。 かなり 美味しかっ た です 。 店長 も 好感 の もてる お 兄さん でし た 。 駅 近く な ので 一度 お 試し あれ です ！ 
1, 味 的 に は 別 に 取り立て て おいしい と 言う こと も ない 。 けど まずく も ない 。 ギリシア 料理 と いも の 自体 が あまり 特徴 が ない という こと も ある と 思う 。 でも ★ １ を 付け て しまっ た の は サービス の 悪 さ から 。 夜 に 行っ た の です けど 、 何 の 説明 も なく パン を 出さ れ た 。 本当は お かわり 自由 らしい けど 、 それ について も 何 も 言っ て くれ なかっ た ので 当然 こちら は 催促 し ない し 、 「 パン の お かわり いかが です か ？ 」 の 一言 も なかっ た 。 女 二 人 で 料理 ３ 品 と ドリンク １つ づつで ￥ ７ ０ ０ ０ って かなり 高い ん じゃ ない ？ 場所 は いい けど 、 かなり 後悔 。 せめて 笑顔 と 最低限 の 説明 は 欲しい ところ 。 
2, 意外と 昔 から ある お 店 で 近江 牛 、 特選 黒毛 和牛 など 高級 肉 を 扱っ てる お 肉屋 さん ランチ も 、 きっと おいしい と 思い 駐車 場 も ある ので 行っ て み まし た ステーキ 焼 ランチ １ ０ ５ ０ 円 。 とても リーズナブル 炭火 か な と 思っ たら 、 ガス でし た で て き た ランチ の お 肉 は 、 ロース 肉 サシ が 入っ て なく 、 見た目 オージー ビーフ っぽい 食べ て み たら 、 うーん これ は やっぱ 。 。 。 外国 産 の お 肉 みたい な 味 が する 高く て おいしい の は 当たり前 １ ０ ０ ０ 円 ランチ と いえ ども 肉 の 質 は 落とし て 欲しく ない な ～ と 思っ た 他 に も お客 さん （ サラリーマン 系 ） が 来 て た けど ランチ で も 、 和牛 サーロイン ステーキ とか 高い 値段 の を 注文 し て まし た ↑ 焼き 方 を 聞い て い た ので 、 和牛 サーロイン ステーキ 等 の 場合 は 焼い て もらえる みたい です ね 
5, ランチ が おすすめ です お 肉 自体 の 旨み 、 そして あ まみ が お 口 に じ ゅわぁ ～ と 広がり ます 。 あの お 値段 で 、 ここ まで おいしかっ た お 店 は 初めて です 駐車 場 は ３ ０ 台 くらい とめ られ て 周り に 別 の お 店 は ナイ ので 、 近く に 看板 も ある し 場所 も わかり やすい 
3, おいしい と 言う 友達 の すすめ で ケーキ を ２ 種類 、 プリン 系 を ２ 種類 買っ て み まし た 。 ケーキ は ちょっと 当たり ハズレ が ある の か な ？ 二つ 買っ た うち の 一つ （ 苺 が のっ た ケーキ ） は おいしかっ た 。 プリン は クリームブリュレ 風 の と 洋 ナシ が のっ た プリン 。 両方 とも 超 美味しい ！ ！ プリン は リピーター 間違い なし 。 
5," ランチ に 利用 し まし た 。 1 , 000 円 の カレー ２ 種 + ナン の セット 。 飲み物 付 カレー が のっ た お 皿 に ミニ サラダ と チキン も 付い て まし た 。 チキン カレー と 野菜 カレー を 頼み まし た 。 カレー は スパイス が 効い て い ます 。 でも だいぶ 日本人 向け に 作っ て ある よう に 感じ ます 。 私 が 頼ん だ チキン 、 野菜 カレー は さらさら の タイプ の カレー で は 無く 、 少し とろみ が ある タイプ でし た 。 ナン が 大きく て 最初 は 食べ きれる か な ？ と 思っ た の です が 、 全然 いら ぬ 心配 でし た 。 パリ パリ で 、 中 は ふっくら な ナン は お かわり し たい ぐらい 美味しかっ た です 。 夜 の メニュー を 見せ て もらっ たら 、 カレー は かなり 種類 が ある みたい です 。 激辛 から マイルド と 種類 も 豊富 な ので 、 辛い もの 苦手 な 方 も 行っ て みる 価値 あり です 。  "
5, 神楽坂 付近 に 行く 時 は 必ず 寄る 店 です 。 私 は いつも 抹茶 ババロア を 食べ ます 。 甘 さ 控えめ な ババロア 、 上品 な 味 の 餡 、 濃厚 な 生クリーム この ３つ が とっても いい バランス ！ ！ 注文 し て から 待っ て いる 間 に 出る お せんべい も 美味しい 。 お茶 を すすり ながら 待っ て いる 時間 も 堪能 できる 。 いつ 行っ て も 混ん で いる 理由 は 分かり ます 。 純粋 に おいしい です もん ね 。 納得 の お 値段 な ん だ けど ‥ ただ 持ち帰り に する と 少し 割高 感 を 感じる ん です よ ね 。 
3, タン タン 麺 を 食べ まし た 。 味 は 濃いめ で しっかり と し た 味 。 とっても 美味しかっ た です 。 お客 さん は みんな 地元 の 常連 さん が 多い と 思い まし た 。 店員 の 方 も 対応 すごく いい です 。 
4, 土曜日 の ランチ で 利用 し まし た 。 席 が 隣 の 人 と 近く て ちょっと ドキドキ 。 煙草 吸う 人 来 たら 嫌 だ な ～ と 。 ランチ セット は メイン が 数種類 から 選べ て 、 ピラフ 、 サラダ 、 デザート 、 コーヒー で 1000 円 。 今回 は + 500 円 増 の メインサイコロステーキ を 頂き まし た 。 マスタード の ソース と すごく 合っ て い て 美味しい 。 連れ の お 皿 から マッシュポテト を 頂戴 する 。 少し 甘 め で 美味し ～ い ！ ！ 私 が 行っ た 時 は 常に 満員 状態 でし た 。 ‥ に も 関わら ず 、 店員 の 方 は よく 気 の きく 感じ でし た ね 。 コーヒー も 気兼ね なく お かわり でき ます し 。 また 是非 行き たい です ね 。 
4, やっぱり 有名 な だけ あっ て 、 羽根 つき 餃子 は 文句 無し に うまい 。 皮 も 厚く て 、 中 から 熱々 肉汁 が 出 て くる 。 油断 し て いる と 服 など に たれる ので 要 注意 。 ニーハオ 、 大連 に も 行っ た 事 が ある が 、 個人 的 に は ここ が 一番 お気に入り です 。 尚 、 みなさん も 書か れ て いる が 、 店員 の 態度 と いう か 対応 は 期待 し ない 方 が ○ 。 一 人 、 二 人 で 行く 方 は 混ん で いる 時 は かなり 詰め込ま れ ます 。 でも 純粋 に 餃子 は うまい です よ 。 あと 小 龍 包 も 。 
5, 土曜日 に ランチ で 行っ て 来 まし た 。 雨 が 降っ て い た せい か 、 それほど の 混雑 で は なかっ た です 。 サラダ 、 肉 or 魚 の スープ 料理 、 パエジャ 、 デザート 、 飲み物 で 2200 。 パ エリア は もう 、 文句 無し に に おいしい 。 魚介 類 の エキス を ほどよく 吸っ て い て 、 味わい が ある 。 隣 の 席 の 人 は 、 店 の 方 に おこ げ を 取っ て もらっ て い た の だ けれど 、 私 達 は 待ち きれ ず 自分 達 で こげ を 取っ て 食べ まし た 。 おこ げ の 部分 が これ また 最高 です 。 
4, 土日 の カレー 食べ 放題 に 行き まし た 。 食べ 放題 は サラダ 、 シシカバブ が 出 た 後 に カレー ５ 種類 位 が 食べ 放題 、 ご飯 、 ナン も 食べ 放題 でし た 。 カレー は どれ も 本場 的 で 、 サラサラ し た カレー です 。 （ トロ トロ 系 も あり まし た 。 ） 香辛料 が 本格 的 な ので 、 人 によって は 好き 嫌い 別れる も しれ ませ ん 。 店員 さん は みなさん 外国 の 方 でし た 。 （ パキスタン の 方 ？ ） ラッシー が 美味 。 テレビ の 取材 も たびたび 来 て いる よう です 。 （ 店内 に 写真 が 貼っ て あり まし た ） 
